,inode,filename
0,0,NTFS:\$MFT
1,1,NTFS:\$MFTMirr
10515,19401,NTFS:\BOOTNXT
10532,19411,NTFS:\bootmgr
10800,19534,NTFS:\Windows\WinSxS\amd64_microsoft.windows.powershell.common_31bf3856ad364e35_6.3.9600.16384_none_219db062ef302354\Windows PowerShell (x86).lnk
10801,19535,NTFS:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Windows PowerShell (x86).lnk
10807,19539,NTFS:\Windows\WinSxS\amd64_microsoft.windows.powershell.common_31bf3856ad364e35_6.3.9600.16384_none_219db062ef302354\Windows PowerShell.lnk
10809,19540,NTFS:\ProgramData\Microsoft\Windows\Start Menu\Programs\System Tools\Windows PowerShell.lnk
10873,19586,NTFS:\Users\Default\AppData\Local\Microsoft\Windows\WinX\Group2\desktop.ini
10946,19628,NTFS:\Users\Default\AppData\Local\Microsoft\Windows\WinX\Group3\desktop.ini
10958,19635,NTFS:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\desktop.ini
11005,19665,NTFS:\Users\Public\Desktop\desktop.ini
12164,20377,NTFS:\Users\Administrator\AppData\Local\Microsoft\Windows\appsFolder.itemdata
12276,20479,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Launch Internet Explorer Browser.lnk
18401,23746,NTFS:\Users\Default\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\desktop.ini
18446,23780,NTFS:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Desktop.ini
18460,23791,NTFS:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\desktop.ini
34109,32,NTFS:\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
36992,33,NTFS:\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
87311,73274,NTFS:\Program Files\Internet Explorer\iediagcmd.exe
87778,73490,NTFS:\ProgramData\Microsoft\User Account Pictures\user.bmp
87779,73491,NTFS:\ProgramData\Microsoft\User Account Pictures\guest.bmp
87858,73532,NTFS:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\desktop.ini
88068,73635,NTFS:\$Recycle.Bin\S
107762,84630,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\PortalGunPlans.lnk
107791,84656,NTFS:\$Extend\$UsnJrnl:$J
108026,84873,NTFS:\Users\Administrator\Videos
108029,84876,NTFS:\Users\Administrator\Pictures
108045,84890,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools
108046,84891,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Maintenance
108047,84892,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories
108048,84893,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility
108049,84894,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\SendTo
108062,84905,NTFS:\Users\Administrator\AppData\Local\Microsoft\Windows\WinX\Group3
108152,84987,NTFS:\Users\Administrator\AppData\Local\Microsoft\Windows\UsrClass.dat
108197,85025,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Internet Explorer.lnk
108301,85118,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Windows PowerShell.lnk
109267,86,NTFS:\Boot\memtest.exe
110322,86968,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\9b9cdc69c1c24e2b.automaticDestinations
110325,86970,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations
110326,86971,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\NoJerry.lnk
110330,86975,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\Secret.lnk
110427,87060,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\Szechuan Sauce.lnk
110430,87064,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\SECRET_beth.lnk
110458,87092,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\28c8b86deab549a1.customDestinations
110482,87112,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\Beth_Secret.lnk
110502,87130,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\1bc392b8e104a00e.automaticDestinations
110519,87146,NTFS:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\590aee7bdd69b59b.customDestinations
